AOSNUMBER,Agency,Type of LEA,Summary,Type of Juris,Technology,Vendor
AOS005092,Florida Department of Business and Professional Regulation,State Police,"The Florida Department of Business and Professional Regulation is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",State,Face Recognition,Idemia
AOS005093,Florida Department of Corrections,State Police,"The Florida Department of Corrections is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",State,Face Recognition,Idemia
AOS005094,Florida Department of Law Enforcement,State Police,"The Florida Department of Law Enforcement is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",State,Face Recognition,Idemia
AOS005095,Florida Department of Legal Affairs,State Police,"The Florida Department of Legal Affairs is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",State,Face Recognition,Idemia
AOS005096,Florida Fish and Wildlife Commission,State Police,"The Florida Fish and Wildlife Commission is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",State,Face Recognition,Idemia
AOS005097,Florida Highway Patrol,State Police,"The Florida Highway Patrol is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",State,Face Recognition,Idemia
AOS005098,Florida Lottery Division of Security,State Police,"The Florida Lottery Division of Security is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",State,Face Recognition,Idemia
AOS005099,Florida State Fire Marshal's Office,State Police,"The Florida State Fire Marshal's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",State,Face Recognition,Idemia
AOS005100,Fort Myers Police Department,Police,"The Fort Myers Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005101,Fort Walton Beach Police Department,Police,"The Fort Walton Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005102,Fruitland Park Police Department,Police,"The Fruitland Park Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005103,Fort Lauderdale Police Department,Police,"The Fort Lauderdale Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005104,Fort Pierce Police Department,Police,"The Fort Pierce Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005105,Gainesville Police Department,Police,"The Gainesville Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005106,Glades County Sheriff's Office,Sheriff,"The Glades County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005107,Greenacres Department of Public Safety,Police,"The Greenacres Department of Public Safety is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005108,Gretna Police Department,Police,"The Gretna Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005109,Groveland Police Department,Police,"The Groveland Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005110,Gulf Breeze Police Department,Police,"The Gulf Breeze Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005111,Gulfport Police Department,Police,"The Gulfport Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005112,Haines City Police Department,Police,"The Haines City Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005113,Hallandale Beach Police Department,Police,"The Hallandale Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005114,Hardee County Sheriff's Office,Sheriff,"The Hardee County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005115,Hendry County Sheriff's Office,Sheriff,"The Hendry County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005116,Hernando County Sheriff's Office,Sheriff,"The Hernando County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005117,Hialeah Police Department,Police,"The Hialeah Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005118,Highlands County Sheriff's Office,Sheriff,"The Highlands County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005119,Hillsborough County Sheriff's Office,Sheriff,"The Hillsborough County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005120,Hollywood Police Department,Police,"The Hollywood Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005121,Holmes Beach Police Department,Police,"The Holmes Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005122,Holmes County Sheriff's Office,Sheriff,"The Holmes County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005123,Homestead Police Department,Police,"The Homestead Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005124,Indialantic Police Department,Police,"The Indialantic Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005125,Indian Harbour Beach Police Department,Police,"The Indian Harbour Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005126,Indian River County Sheriff's Office,Sheriff,"The Indian River County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005127,Indian River Shores Public Safety Department,Police,"The Indian River Shores Public Safety Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005128,Jackson County Sheriff's Office,Sheriff,"The Jackson County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005129,Jacksonville Beach Police Department,Police,"The Jacksonville Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005130,Florida Department of Law Enforcement - Jacksonville Regional Operations Center,Police,"The Florida Department of Law Enforcement- Jacksonville Regional Operations Center is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",State,Face Recognition,Idemia
AOS005131,Jacksonville Sheriffs Office,Sheriff,"The Jacksonville County Sheriffs Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005132,Jefferson County Sheriff's Office,Sheriff,"The Jefferson County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005133,Jupiter Police Department,Police,"The Jupiter Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005134,Key West Police Department,Police,"The Key West Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005135,Kissimmee Police Department,Police,"The Kissimmee Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005136,Lady Lake Police Department,Police,"The Lady Lake Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005137,Lake County Sheriff's Office,Sheriff,"The Lake County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005138,Lake Mary Police Department,Police,"The Lake Mary Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005139,Lake Wales Police Department,Police,"The Lake Wales Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005140,Lakeland Police Department,Police,"The Lakeland Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005141,Lantana Police Department,Police,"The Lantana Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005142,Largo Police Department,Police,"The Largo Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005143,Lauderhill Police Department,Police,"The Lauderhill Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005144,Lee County Sheriff's Office,Sheriff,"The Lee County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005145,Leesburg Police Department,Police,"The Leesburg Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005146,Leon County Sheriff's Office,Sheriff,"The Leon County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005147,Levy County Sheriff's Office,Sheriff,"The Levy County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005148,Lighthouse Point Police Department,Police,"The Lighthouse Point Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005149,Live Oak Police Department,Police,"The Live Oak Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005150,Longwood Police Department,Police,"The Longwood Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005151,Lynn Haven Police Department,Police,"The Lynn Haven Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005152,Madison County Sheriff's Office,Sheriff,"The Madison County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005153,Madison Police Department,Police,"The Madison Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005154,Maitland Police Department,Police,"The Maitland Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005155,Manatee County Sheriff's Office,Sheriff,"The Manatee County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005156,Margate Police Department,Police,"The Margate Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005157,Marianna Police Department,Police,"The Marianna Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005158,Marion County Sheriff's Office,Sheriff,"The Marion County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005160,Mascotte Police Department,Police,"The Mascotte Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005161,Medley Police Department,Police,"The Medley Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005163,Miami Beach Police Department,Police,"The Miami Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005164,Miami Gardens Police Department,Police,"The Miami Gardens Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005165,Miami Police Department,Police,"The Miami Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005166,Miami Shores Police Department,Police,"The Miami Shores Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005168,Miami-Dade Police Department,Police,"The Miami-Dade Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005169,Miami-Dade Schools Police Department,Police,"The Miami-Dade Schools Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005170,Miramar Police Department,Police,"The Miramar Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005171,Monroe County Sheriff's Office,Sheriff,"The Monroe County Sheriff's Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005172,Mount Dora Police Department,Police,"The Mount Dora Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005173,Naples Police Department,Police,"The Naples Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005174,Nassau County Sheriff's Office,Sheriff,"The Nassau County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",County,Face Recognition,Idemia
AOS005175,Neptune Beach Police Department,Police,"The Neptune Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005176,New Port Richey Police Department,Police,"The New Port Richey Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005177,New Smyrna Beach Police Department,Police,"The New Smyrna Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005178,Niceville Police Department,Police,"The Niceville Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005179,North Bay Village Police Department,Police,"The North Bay Village Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005180,North Miami Beach Police Department,Police,"The North Miami Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005181,North Miami Police Department,Police,"The North Miami Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005182,North Palm Beach Police Department,Police,"The North Palm Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005183,North Port Police Department,Police,"The North Port Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005184,Oakland Police Department,Police,"The Oakland Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005185,Ocala Police Department,Police,"The Ocala Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005186,Ocean Ridge Police Department,Police,"The Ocean Ridge Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
AOS005187,Ocoee Police Department,Police,"The Ocoee Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots.",Municipal,Face Recognition,Idemia
