Wreck_Name,Wreck_No,Classification,Place_of_Loss,Date_of_Loss,DD_Lat,DD_Long,Source_of_Co_ordinate,Description,Record_Source,Date_of_Loss_Year_Only
Unknown,W10634,Unknown,Unknown,Unknown,52.24638,-6.24195,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W10611,Unknown,"King's Channel, River Suir. On the SE shore of Little Island, Wateford.",Unknown,52.24579,-7.05233,National Monuments Service,Aerial photo of a wreck lying against the shore edge of Little Island.,National Monuments Service,
Unknown,W10654,Unknown,Unknown,Unknown,52.2425,-6.30805,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Earl,W09603,Unknown,Unknown,1/5/18,52.23917,-6.295,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 36, 173; Thursday 21st Aug. 1930, 6 c.12.",1918
Unknown 'Tintern Lighter',W11649,Unknown,"Tintern Bridge, approximately 200m downstream",Unknown,52.23391,-6.8345,"O'Hara et. al. 1998, 24-28","Remains of a lighter recorded by IUART in 1998. The wreck measures 7.5m long by 1.52m wide and appears to be a flat bottomed double ended craft with clinker sides.
----------------------------","O'Hara et. al. 1998, 24-28",
Unknown,W10378,Unknown,"Greenore Point, Wexford. 8.9km east",Unknown,52.23045,-6.183,GSI Wreck Data,"Wreck surveyed by the Geological Survey of Ireland in 2001 as part of the Irish National Seabed Survey. Wreck measures 79m long and lies in 30m of water. GSI Wreck No_254.
----------------------------",GSI Wreck Data,
Unknown,W10664,Unknown,Unknown,Unknown,52.22222,-6.93722,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W14642,Unknown,"52 13 N, 12 50 W",27/05/1917,52.21667,-12.83333,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 32, 118, Sat. 2nd Jun. 1917, 5.",1917
Unknown,W10305,Unknown,Unknown,Unknown,52.21333,-5.84167,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Egda,W03424,Unknown,"Wexford, Tusker Rock, E of / Irish Channel.",7/1/18,52.2125,-5.81,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1998, 159; Hocking 1989, 204; Roche 1993, 120, 132; UKHO Wreck Data.",1918
Fulgent (SS),W05680,Collier,"Kerry, Skelligs, 45M NW of / 20 miles WNW of Blaskets.",30/04/1915,52.21167,-11.06667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1994, 159, 217; PP 1919, Vol. XLII, 6; Larn & Larn 2002; Tennent 1990, 234; Lloyd's List 31, 475, Mon. 3rd May 1915, 9 c.24; Lloyd's List 31, 476, Tue. 4th May 1915, 9 c.22; www.uboat.net; UKHO Wreck Data.",1915
Unknown,W10633,Unknown,Unknown,Unknown,52.21056,-6.20778,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W18296,Fishing boat,See Notes field,17/01/2017,52.2088,-6.005,INFOMAR Wreck Data; GSI Wreck No_323,"Irish fishing vessel sank but there was no loss of life. Wreck surveyed by the Celtic Voyager in 2012 as part of the INFOMAR seabed mapping programme. Wreck measures 19m long, 4m in maximum width and lies in 85m of water. GSI Wreck No_323.",INFOMAR Wreck Data; GSI Wreck No_323,2017
Avance,W03204,Ketch,"Wexford, Tusker Rock, approximately 1.2km WNW of.",3/3/23,52.20833,-6.225,UKHO; Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Roche 1993, 121, 132; Lloyd's List 33, 882, Tuesday 6th March 1923; UKHO Wreck Data 1996.",1923
Manchester Market (SS),W03921,Steel Steamship,"Wexford, Gipsy Rock, North of Tuskar Lighthouse.",27/04/1903,52.20556,-6.20917,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1994, 67-8; Hocking, 1969, 448; Lloyd's List 20, 472, Monday, 27th April 1903; Lloyd's List 20, 473, Tuesday, 28th April 1903; Lloyd's List 20, 474, Wednesday, 29th April 1903; Lloyd's List 20, 478, Monday, 4th May 1903; Lloyd's List 20, 479, Tuesday, 5th May 1903; Lloyd's List 20, 493, Thursday, 21st May 1903; Lloyd's List 20, 494, Friday, 22nd May 1903; PP 1904, LXXXVI, 139; Roche 1993, 118, 131; UKHO Wreck Data.",1903
ST672,W10058,Unknown,Unknown,4/10/44,52.20417,-6.20833,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1944
Unknown,W11024,Unknown,Unknown,Unknown,52.20417,-6.20667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
George,W09684,Unknown,"Tuskar Rock lighthouse at submerged rocks known as the S Hen and Chickens, near",10/08/1856,52.20173,-6.2085,Edmond O'Byrne,We regret that we are unable to supply descriptive details for this record at present.,,1856
Frode (SS),W09678,Steamship,"Inishtooskert, approximately 100km west / 52 12 N, 12 6 W",3/9/15,52.2,-12.1,wrecksite.eu / uboat.net,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 257; Lloyd’s List, No. 31, 583, Mon. 6th Sept. 1915, 7 c.23.",1915
Notre Dame du Sacre Coeur,W09911,Unknown,Unknown,6/12/78,52.2,-6.1,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1978
EI-AOM (St. Phelim),W09606,Airplane,Unknown,24/03/1968,52.19833,-6.15778,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1968
Unknown 'Duncannon 2 Wreck',W11617,Unknown,"Duncannon Bar, on western edge of the navigation channel leading into Waterford Harbour.",circa 1543,52.1938,-6.93976,National Monuments Service,"Little is known about this wreck apart from the information that has been gleaned from the half dozen fragmented timbers that were recovered from the dredge head in 2003 during the archaeological monitoring undertaken by the Underwater Archaeology Unit, National Monuments Service (NMS) of the dredging programme at that time. These comprised oak timbers detached from a more substantial structure and made up of a number of both framing and planking timbers. As the timbers blocked the head of the dredger it was lifted out of the water and this allowed both the timbers to be recovered but also a location to be ascertained for where the blockage occurred and thus a location for the wreck site itself. Subsequent dendrochronological dating carried out by Dr Aoife Daly supplied a date from the timbers of 1543AD. Geophysical survey carried out by Dr Rory Quinn of the University of Coleraine in Ulster for NMS in 2003 imaged the sub-surface remains of the wreck and indications are that a substantial part of the wreck may be buried up to 3m beneath the seabed, including possible decking timbers identifiable in the sub-bottom profile images. Whether Duncannon 2 Wreck was a sister-ship of the Post (W05126), another Tudor-period wreck lost nearby in Tramore Bay in 1566AD or whether it is an unrelated vessel from the same period remains a mystery.",Kelleher 2004; Quinn 2003,1543
Tripoli (SS),W04436,Screw Steamer,"Wexford, Tuskar Rock, South Rock, lighthouse, reef 0.5 mile SW of, N side of.",17/05/1872,52.19333,-6.21278,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1994, 67; Larn & Larn 2002; Lloyd's List 18, 121, Saturday 18th May 1872, 5; Lloyd's List 18, 122, Monday 20th May 1872, 4; Lloyd's List 18, 123, Tuesday 21st May 1872, 4; Lloyd's List 18, 124, Wednesday 22nd May 1872, 4; Lloyd's List 18, 125, Thursday 23rd May 1872, 4; Lloyd's List 18, 126, Friday 24th May 1872, 4; Lloyd's List 18, 126, Friday 24th May 1872, 5; Lloyd's List 18, 127, Saturday 25th May 1872, 4; Lloyd's List 18, 127, Saturday 25th May 1872, 4; Lloyd's List 18, 128, Monday 27th May 1872, 5; Lloyd's List 18, 129, Tuesday 28th May 1872, 4; Lloyd's List 18, 129, Tuesday 28th May 1872, 8; Lloyd's List 18, 133, Saturday 1st June 1872, 5; Lloyd's List 18, 141, Tuesday 11th June 1872, 4; Lloyd's List 18, 142, Wednesday 12th June 1872, 4; Lloyd's List 18, 146, Monday 17th June 1872, V; Lloyd's List 18, 165, Tuesday 9th July 1872, 4; PP 1873, Vol. LX, 122; Roche 1993, 113, 129; UKHO Wreck Data.",1872
Unknown 'Duncannon Wreck',W18543,Unknown,"Duncannon Bar, on the western side slope of the navigation channel, Waterford Harbour",c. 1640s-1660s,52.19292,-6.94033,National Monuments Service,"This substantial wreck was discovered in 2002 during dredging operations by Waterford Port, when archaeological monitoring by The Archaeological Diving Company Ltd. (ADCO) recovered timbers from the dredge head. Subsequent survey and investigation by ADCO identified it as a large, wooden wreck, lying partially exposed on the seabed, with both structural and decking timbers visible as well as a line of iron cannon protruding from the wreck. The Underwater Archaeology Unit of the National Monuments Service carried out excavation at the wreck site in 2003 & 2004 and revealed more of the wreck and its constructional detail.  The Duncannon 1 Wreck is a mid-17th century wreck that was discovered through the archaeological monitoring of dredging operations undertaken by Waterford Port Company in 2002. Recovered at the time were several large timbers that allowed for a fixed location to be determined. Prior to that, during geophysical survey of the harbor. Mr Donal Boland in 2000 had identified several anomalies that suggested a wreck was located in the general area. ADCO’s archaeological monitor on board was able to suspend dredging in that area when timbers blocked the dredge head and subsequent dive inspection and assessment by ADCO reported that a substantial wooden wreck was located partly revealed in the soft sands of Duncannon Bar. A number of artefacts were recovered by ADCO at the time, including rigging elements, anchor, quern stone, munitions, leather and pottery. Remaining on the seabed, protruding from the wreck structure, are a line of large and medium iron cannon, some possibly within their gun ports. The Underwater Archaeology Unit (UAU) of the National Monuments Service carried out further survey and excavation at the wreck site in 2003 and 2004 to ascertain what part of the wreck was revealed and to obtain more detailed information on the guns and lead objects within the wreck. Timber decking was exposed during the excavation and the four circular lead objects visible appear to be possible pissdales or ‘heads’ (toilets on board the ship) still within their structural location; the iron guns comprise both large guns and one medium gun, which appear to be English. All bar the medium gun which lies horizontally on the seabed, are vertical with their breech ends facing upwards. Though a positive identification was not made, dating of the guns suggests that the wreck dates to the mid-part of the 17th century (Ruth Browne gun assessment) and are English. During the Irish Rebellion period of 1643-1653, several ships were lost off or around Waterford Harbour, which was one of the main focal points for Royalist, Confederate Irish and Parliamentary maritime engagement. In 1645 the Great Lewis, flagship of the Parliamentary Navy, engaged in supporting and supplying the Parliamentary troops in Duncannon Fort, was bombarded by the Royalist and Confederate Irish during the siege of the Fort and was lost about a mile down harbour of the Fort. The dating evidence from Duncannon 1 Wreck, type of guns and size timbers revealed, which suggest they formed part of a large ship, suggests the wreck may be that of the Great Lewis. More definitive evidence is required, however, to positively state that Duncannon 1 wreck is the Great Lewis or that of another ship lost in the harbour at that time.","Brady & McCullough 2003; Kelleher 2004; Kelleher, 2009; Quinn 2003",
Ydun (SS),W04719,Steel Steamship,"Wexford, Tusker Rock, About 17 miles NE of / Rosslare, 15M from.",24/10/1915,52.19228,-6.14791,GSI_203,We regret that we are unable to supply descriptive details for this record at present.,"GIS Wreck Data; Lloyd's List 31, 626, Tue. 26th Oct. 1915, 7 c.20; Lloyd's List 31, 633, Wed. 3rd Nov. 1915, 7 c.21; PP 1920, XL, 33; UKHO Wreck Data.",1915
City of London,W03325,Ship,"Wexford, Tacumshane Beach, 5 miles W of Carnsore Point.",13/01/1875,52.18973,-6.45483,GSI,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1994, 48; Larn & Larn 2002; Lloyd's List 18, 949, Friday 15th January 1875, 9; Lloyd's List 18, 950, Saturday 16th January 1875, 8; Lloyd's List 18, 952, Tuesday 19th January 1875, 9; Lloyd's List 18, 953, Wednesday 20th January 1875, 9; Lloyd's List 18, 954, Thursday 21st January 1875, 7; Lloyd's List 18, 967, Friday 5th February 1875, 8; Lloyd's List 18, 970, Tuesday 9th February 1875, 9; Lloyd's List 18, 976, Tuesday 16th February 1875, 9; Lloyd's List 18, 989, Wednesday 3rd March 1875, 12; Lloyd's List 18, 991, Friday 5th March 1875, 7; Lloyd's List 18, 994, Tuesday 9th March 1875, 8; LR 1874-75, No. 695; PP 1875, Vol. LXX, 184, 328; Roche 1993, 114, 129.",1875
Unknown,W18578,Unknown,"Fornaght Strand, Waterford Harbour, Waterford",Unknown,52.1778,-6.96917,National Monuments Service,Remains of a wooden wreck lie partially exposed on the strand at Fornaght. The wreck consists of at least two framing timbers attached to hull planking and is exposed for a length of 3.35m.,National Monuments Service,
Unknown,W10316,Unknown,Unknown,Unknown,52.1775,-5.82139,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Tweed (SS),W04439,Steel Steamship,"Wexford, Tusker Rock, E of / offshore, 10 miles SE by S / 15 miles SSE.",14/03/1918,52.17639,-5.83972,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1994, 219; BVLS 1914-18, 83; Larn & Larn 2002; Roche 1993, 120, 132; Tennent 1990, 239; UKHO Wreck Data.",1918
Unknown,W11016,Unknown,Unknown,Unknown,52.173,-6.55467,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W11017,Unknown,unknown,Unknown,52.17283,-6.553,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W11015,Unknown,Unknown,Unknown,52.1725,-6.55167,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W11585,Unknown,Unknown,Unknown,52.17167,-6.55417,UKHO,We regret that we are unable to supply descriptive details for this record at present.,UKHO,
Unknown,W11595,Unknown,Unknown,Unknown,52.17167,-6.55417,UKHO,"Obstruction.
----------------------------",UKHO,
Unknown,W11605,Unknown,Unknown,Unknown,52.17167,-6.55417,UKHO,"Wreck.
-----------------",UKHO,
Unknown,W11612,Unknown,Unknown,Unknown,52.17167,-6.55417,UKHO,"Wreck.
----------------------------",UKHO,
Marion,W09860,Bark,W approaches to Ireland,6/4/17,52.16944,-13.26667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1917
Rask (SS),W04190,Steamship,"14km SE of Rosslare harbour, Co. Wexford",19/10/1941,52.16903,-6.18746,GSI_202,"The identity of this wreck has not yet been confirmed, although available information would appear to indicate that it is that of the Rask. It is hoped that further research, survey work and investigations by divers will some day confirm whether this is the case. The Rask was a Norwegian steel steamship of 632 tons,
equipped with triple-expansion engines. It was built in 1890 by the Dutch shipbuilders A. A. Wilton van Reede Czn, Papendrecht, and named the Göteborg. Initially owned by D/S A/S Marstrand (D. Torm) Copenhagen, the vessel was purchased by Olaus Kvilhaug & Co. A/S, Haugesund, Norway, in 1917 and renamed the Uno. It was purchased in 1924 by Sigvart Rasmussen, Haugesund, and renamed the Rask, and was eventually acquired by D/S A/S Rask (Sigvald Risanger) in April 1937. Apart from the everyday risks shipping had to endure while at sea, such as bad weather and rough seas, merchant shipping also had to contend with the threat posed by U-boats, mines and aircraft throughout the battle of the Atlantic. German long-range aircraft, mostly Focke-Wulf Fw200 Condors, bombed and strafed shipping off the Irish coast, as well as acting as spotters for U-boats, earning themselves a reputation as the ‘scourge of the Atlantic’. The Rask was to suffer such a fate at their hands. At about 6.30pm on 19 September 1941 the vessel came under attack from three German aircraft near Tuskar Rock, off the coast of Co. Wexford. The Rask, with 16
crewmen, was under the command of Captain Sigurd M.J. Martinessen and en route from Cork to Newport, Wales, in ballast. Two of the planes are believed to have been hit during the exchange of fire, with one of them possibly downed by the Rask’s five machine guns, which were manned by both crewmen and gunners. The undamaged plane returned and scored a direct hit, causing irreparable damage to the Rask, and she sank not long afterwards. The starboard lifeboat left the ship with five men on board and landed at Blackwater, Co. Wexford, the next morning. The port lifeboat, with 12 men on board, unfortunately
capsized several times, with seven fatalities brought about by exposure. The remaining crewmen on the lifeboat were rescued at about 6.00am by the British vessel Wallace Rose. The wreck of the Rask measures 57m in length, 12m in width and 9.55m in maximum height, with an average height of 5.4m. The vessel is orientated NE–SW on the seafloor.","Brady et. al. 2012, 143; Hocking 1989, 580; Larn & Larn 2002; Hocking 1989, 580; Roche 1993, 121, 132; Woodman 2004, 253; UKHO Wreck Data; www.warsailors.com",1941
Cornelis Ferdinand,W09565,Unknown,Unknown,5/5/95,52.16805,-11.675,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1995
Northwaite (SS),W05840,Merchant Vessel,"Kerry, Blaskets, 14 miles WNW of.",13/03/1917,52.16667,-11.01667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1994, 218; BVLS 1919, 37; Larn & Larn 2002; PP 1919, Vol. XIIL, 36; Tennent 1990, 188; UKHO Wreck Data; www.uboat.net.",1917
Alexandra (SS),W09383,Steamship,"Kerry Coast, Valentia Island and River Shannon, between",03/01/1877,52.16667,-11.55,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 19563, Fri. Jan. 5th 1877; 19565, Mon. Jan. 8th 1877; Lloyd's List 19566, Tues. Jan. 9th 1877; Lloyd's List 19566, Tues. Jan. 9th 1877; Lloyd's List 19568, Thurs. Jan. 11th 1877; Lloyd's List 19569, Fri. Jan. 12th 1877; Lloyd's List 9571, Mon. Jan. 15th 1877; Lloyd's List 19573, Weds. Jan. 17th 1877; Lloyd's List 19582, Sat. Jan. 27th 1877; Lloyd's List 19585, Weds. Jan. 31st 1877; Lloyd's List 19587, Fri. Feb. 2nd 1877; Lloyd's List 19589, Mon. Feb. 5th 1877.",1877
Kathleen (SS),W09781,Steamship,"Skelligs, Co Kerry, 90 miles W of / W approaches to Ireland",5/8/17,52.16667,-12.33333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1914-18, 62.",1917
Towergate (SS),W10106,Steamship,"Fastnet, 250 miles NW by W / W Approaches to the British Isles Admiralty Chart",16/04/1917,52.16667,-16.26667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1914-18, 43.",1917
Atxeri Mendi (SS),W03199,Steamship,"Wexford, Tusker Rock, 11.2km ESE",29/08/1918,52.16247,-6.05867,GSI_324,"UKHO Wreck No.010400461, GSI Wreck No. 324. 2,424 tons Spanish steamship, measured L.290 x B.42 x D.18ft. En route to Spain with a cargo of coal. Torpedoed and sunk by a German submarine. Wreck surveyed by INFOMAR in 2012. Wreck in intact and lies in 87m of water and measures 86m long and 11.5m wide. It stands 10.1m above the seabed and is orientated NE/SW with the bow to the NE. There is a 40m long scour extending from the bow.
----------------------------","GSI Wreck Data; Hocking 1969, 59; Roche 1993, 120, 132; UKHO Wreck Data 1996.",1918
Empress (SS),W03477,Steamship,"Wexford, near Carnsore Point, Black Rock.",21/03/1897,52.16056,-6.41389,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1994, 54; Hocking 1969, 222; Lloyd's List 18, 579 Mon. 22nd Mar. 1897, 5 c.15-16; Lloyd's List 18, 581 Wed. 24th Mar. 1897, 5 c.20; Lloyd's List 18, 601 Sat. 17th Apr. 1897, 3; PP 1898, LXXXIII, 142; UKHO Wreck Data.",1897
Hermione (SS),W03675,Steel Steamship,"Wexford, Conningbeg Light Vessel, 1.5 miles South of.",14/04/1917,52.15889,-6.95278,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Larn & Larn 2002; BVLS 1914-18, 43; Tennent 1990, 135; Lloyd's List 32, 228, Wed. 10th Oct. 1917, 4; Lloyd's List 33, 654, Friday 9th June 1922; Lloyd's List 34, 131, Friday 28th December 1923; Lloyd's List 34, 132, Saturday 29th December 1923; UKHO Wreck Data.",1917
Unknown,W10617,Unknown,Unknown,29/04/1995,52.15833,-7.125,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1995
Unknown,W11161,Unknown,"Tramore Strand, immediately west of a concrete outfall pipe. Co. Waterford",Unknown,52.15803,-7.13836,Bangerter 2015; National Monuments Service,"One of five wooden wrecks which become exposed on the beach when sand levels are low. The wreck is orientated east-west and measures 15.9m long and 5m in maximum width. The bow lies to the west.
----------------------------",Bangerter 2015; National Monuments Service,
Unknown,W18570,Unknown,"Tramore Strand, Co. Waterford",Unknown,52.15761,-7.13542,Bangerter 2015; National Monuments Service,"One of five wooden wrecks which become exposed on the beach when sand levels are low. The wreck is
orientated northwest-southeast and measures 21m long and 5.94m in maximum width. The bow lies to the northwest.",Bangerter 2015; National Monuments Service,
Unknown,W18571,Unknown,"Tramore Strand, Co. Waterford",Unknown,52.15753,-7.13461,Bangerter 2015; National Monuments Service,"One of five wooden wrecks which become exposed on the beach when sand levels are low. The wreck is
orientated roughly east-west and measures 21.8m long and 5.4m in maximum width. The bow lies to the west.",Bangerter 2015; National Monuments Service,
Unknown,W18572,Unknown,"Tramore Strand, Co. Waterford",Unknown,52.15694,-7.13231,Bangerter 2015; National Monuments Service,"One of five wooden wrecks which become exposed on the beach when sand levels are low. The wreck is
orientated NNW-SSE and measures 25.4m long and 7.2m in maximum width. The bow lies to the NNW.",Bangerter 2015; National Monuments Service,
Langdale (SS),W03849,Iron Steamship,"Wexford, Tacumshane, Carnsore, off  / 1 mile W of Carnsore Point.",Between 27/9/1879 and 28/9/1879,52.15667,-6.41389,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1994, 50; Lloyd's List 20, 413, 30th September 1879, 15; Lloyd's List 20, 415, 2nd October 1879, 12; Lloyd's List 20, 419, 7th October 1879, 14; Lloyd's List 20, 422, 10th October 1879, 11; Lloyd's List 20, 426, 15th October 1879, 11; Lloyd's List 20, 429, 18th October 1879, 10-11; Lloyd's List 20, 456, 19th November 1879, 14; Lloyd's List 20, 529, 12th February 1880, 10; PP 1881, Vol. LXXXII, 100; Roche 1993, 115, 129; UKHO Wreck Data.",1879
Unknown,W18573,Unknown,"Tramore Strand, Co. Waterford",Unknown,52.15575,-7.12711,National Monuments Service,One of five wooden wrecks which become exposed on the beach when sand levels are low.,National Monuments Service,
Halronell (MV),W09711,Unknown,Unknown,Unknown,52.15167,-6.41333,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Michael,W09869,Cargo Ship,Tramore Strand,14/01/1975,52.15083,-7.1175,UKHO,"Ship went ashore with a cargo of coal.
----------------------------",UKHO,1975
El Toro (SS),W09610,Steamship,"Clogher Head, Co Kerry",2/1/17,52.15067,-10.48267,UKHO,We regret that we are unable to supply descriptive details for this record at present.,UKHO,1917
Unknown,W11023,Unknown,Unknown,15/02/1940,52.15028,-10.48222,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1940
Johnny Toole (SV),W03804,Ketch,"Wexford,Tusker Rock, 3 miles South of.",29/04/1918,52.15,-6.18333,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1994, 219; Larn & Larn 2002; Roche 1993, 120, 132; UKHO Wreck Data.",1918
Onward,W04089,Ketch,"Wexford, off Tusker Rock.",5/12/28,52.15,-6.28333,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Roche 1993, 121; UKHO Wreck Data.",1928
UC-44,W05520,Submarine,"Cork, Cobh, offshore.",4/8/17,52.15,-6.98333,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1994, 82-3; Larn & Larn 2002; UKHO Wreck Data; www.uboat.net.",1917
Patrick (SS),W09941,Steamship,Unknown,Unknown,52.15,-6.91667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Dark Island,W09580,Unknown,Unknown,23/03/1987,52.14888,-6.98945,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1987
Pilar de Larininaga (SS),W04131,Steamship,"Wexford, Tusker Rock, 12.8km SE.",4/5/17,52.14847,-6.04433,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Larn & Larn 2002; BVLS 1914-18, 48; Tennent 1990, 150; Hocking 1969, 553; Roche 1993, 120, 131; UKHO Wreck Data 1996.",1917
Margaret Ann,W09853,Unknown,"Tramore bay, east side",18/02/1958,52.14677,-7.10033,UKHO,"Fishing vessel caught fire and went ashore.
----------------------------",UKHO,1958
Unknown,W10632,Unknown,Unknown,Unknown,52.14667,-6.27862,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W10657,Unknown,Unknown,Unknown,52.14612,-6.27667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W11633,Unknown,"Tramore, Pollack Rocks",Unknown,52.14417,-7.11417,John O'Connor,"Possible wreck.
----------------------------",John O'Connor,
Unknown,W10303,Unknown,Unknown,Unknown,52.14167,-5.74167,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Cherbourg Technologie,W09540,Yacht,Unknown,13/12/1994,52.1375,-6.58917,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1994
Sea Horse,W05169,Transport,"Waterford, Tramore Bay.",30/01/1816,52.135,-7.17083,UKHO,"This 350-ton British transport ship was built in 1784. She was en route from Ramsgate to Cork with 5 companies of the 2nd or 59th regiment and soldiers’ wives and children (394 in total). She was in convoy with the Boadicea and Lord Melville, which were wrecked near Kinsale. The troops had recently returned from the Napoleonic Wars. An easterly gale arose while they were crossing the Irish sea. The mate, who was the only person who knew the coast, was killed or broke his legs after falling from a mast. The ship was unable to weather Brownstown Head and soon lost her mizen and main masts and rudder. The anchors were let out but she struck about a mile out in the bay. All the boats had been washed away and 360 / 363 drowned but 29, including the master, Capt. Gibbs, were saved. Other reports say that of the 16 crew, only Capt. Gibbs and 2 hands were saved, 20 of the 287 soldiers were saved, 4 of the 18 officers were saved and all of the 61 women and children were lost.","Bourke 1994, 76-77, 92; FJ LVIL, 2nd February, 1816, 3; Freeman's Journal LVIL, 3rd February, 1816, 4; Freeman's Journal LVII, 29th February, 1816, 4; Larn & Larn 2002; Lloyd's List 5046, Tue. Feb. 6, 1816; PP 1836, XVII, Appendix no 7, 280; UKHO Wreck Data.",1816
Hazael 3,W09719,Unknown,"Slade Bay, Hook Head Peninsula, Wexford.",21/02/1968,52.13375,-6.90778,UKHO,"Fishing vessel caught fire and went ashore.
----------------------------",UKHO,1968
Cite D'aleth (MFV),W09546,Unknown,Unknown,12/1/83,52.13333,-5.91667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1983
Jack Buchan,W09762,Unknown,"Hook Head, on west side (Churchtown). Approximately 1km NNW of the lighthouse.",11/2/58,52.13333,-6.93333,UKHO,We regret that we are unable to supply descriptive details for this record at present.,UKHO.,1958
Tourmalet,W10105,Unknown,Unknown,2/12/72,52.13333,-6.59167,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1972
Unknown,W10328,Unknown,St. George's Channel,Unknown,52.13322,-5.69528,UKHO,We regret that we are unable to supply descriptive details for this record at present.,UKHO.,
Croghan,W09569,Cargo Ship,"Doornoge Point, Hook Head",19/03/1973,52.12972,-6.93658,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Bourke 1994, 73; UKHO; www.wrecksite.eu.",1973
Unknown 'Swede Patch',W11646,Unknown,Unknown,Unknown,52.1293,-7.0867,John O'Connor,We regret that we are unable to supply descriptive details for this record at present.,,
Sustain,W10075,Unknown,Unknown,1/8/75,52.12917,-7.025,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1975
Unknown,W10403,Unknown,Unknown,Unknown,52.12848,-5.84655,GSI,We regret that we are unable to supply descriptive details for this record at present.,,
Alu Mendi,W03136,Vessel,"Tuskar Rock, Co Wexford, 12 miles SE",28/04/1917,52.12848,-5.84665,GSI Wreck Database,"2,104-ton Spanish steamship of Bilbao en route from Sagunto to the Clyde. Built in 1907 by Ropner & son, Stockton-on-Tees with 3-cylinder triple expansion 206 Hp double screw engine. Measured L.84m x B.12.70 x D.5.50m. Vessel owned by Cia. Nav. Sota y Aznar, Bilbao. Captain was Medurio. The steamer was carrying a cargo of iron ore when sunk  12 miles SE of Tuskar Rock by U-boat action. Wreck located in 2007 by INNS in 93m of water. Measures 67m long, 11.5wide and stands 7.9m above the seabed.
----------------------------",Larn & Larn 2002; UKHO; GSI Wreck Database,1917
Unknown,W10302,Unknown,St. George's Channel,Unknown,52.1275,-5.70861,UKHO,We regret that we are unable to supply descriptive details for this record at present.,UKHO.,
